**Supported operators for device: XLA_CPU_JIT**

Operator | Type Constraint
`ExpandDims` | `Tdim={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Expm1` | `T={bfloat16,complex128,complex64,double,float,half}`
`ExtractImagePatches` | `T={bfloat16,double,float,half}`
`FFT` | `Tcomplex={complex64}`
`FFT2D` | `Tcomplex={complex64}`
`FFT3D` | `Tcomplex={complex64}`
`FakeParam` | `dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`FakeQuantWithMinMaxArgs` | 
`FakeQuantWithMinMaxArgsGradient` | 
`FakeQuantWithMinMaxVars` | 
`FakeQuantWithMinMaxVarsGradient` | 
`Fill` | `index_type={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Floor` | `T={bfloat16,double,float,half}`
`FloorDiv` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`FloorMod` | `T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`FusedBatchNorm` | `T={float}`
`FusedBatchNormGrad` | `T={float}`
`FusedBatchNormGradV2` | `U={float}`<br>`T={bfloat16,float,half}`
`FusedBatchNormGradV3` | `U={float}`<br>`T={bfloat16,float,half}`
`FusedBatchNormV2` | `U={float}`<br>`T={bfloat16,float,half}`
`FusedBatchNormV3` | `U={float}`<br>`T={bfloat16,float,half}`
`Gather` | `Tindices={int32,int64}`<br>`Tparams={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`GatherNd` | `Tindices={int32,int64}`<br>`Tparams={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`GatherV2` | `Taxis={int32,int64}`<br>`Tindices={int32,int64}`<br>`Tparams={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Greater` | `T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`GreaterEqual` | `T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`HSVToRGB` | `T={bfloat16,double,float,half}`
`IFFT` | `Tcomplex={complex64}`
`IFFT2D` | `Tcomplex={complex64}`
`IFFT3D` | `Tcomplex={complex64}`
`IRFFT` | `Tcomplex={complex64}`<br>`Treal={float}`
`IRFFT2D` | `Tcomplex={complex64}`<br>`Treal={float}`
`IRFFT3D` | `Tcomplex={complex64}`<br>`Treal={float}`
`Identity` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`
`IdentityN` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`
`If` | `Tout={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`<br>`Tin={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`<br>`Tcond={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,uint16,uint32,uint64,uint8,variant}`
`Igamma` | `T={bfloat16,double,float,half}`
`IgammaGradA` | `T={double,float}`
`Igammac` | `T={bfloat16,double,float,half}`
`Imag` | `Tout={double,float}`<br>`T={complex128,complex64}`
`InTopKV2` | `T={int32,int64}`
`Inv` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8}`
`Invert` | `T={int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`InvertPermutation` | `T={int32,int64}`
`IsFinite` | `T={bfloat16,double,float,half}`
`IsInf` | `T={bfloat16,double,float,half}`
`IsNan` | `T={bfloat16,double,float,half}`
`L2Loss` | `T={bfloat16,double,float,half}`
`LRN` | `T={bfloat16,float,half}`
`LRNGrad` | `T={bfloat16,float,half}`
`LeakyRelu` | `T={bfloat16,double,float,half}`
`LeakyReluGrad` | `T={bfloat16,double,float,half}`
`LeftShift` | `T={int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`Less` | `T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`LessEqual` | `T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`Lgamma` | `T={bfloat16,double,float,half}`
`LinSpace` | `Tidx={int32,int64}`<br>`T={bfloat16,double,float,half}`
`ListDiff` | `out_idx={int32,int64}`<br>`T={int32,int64}`
`Log` | `T={bfloat16,complex128,complex64,double,float,half}`
`Log1p` | `T={bfloat16,complex128,complex64,double,float,half}`
`LogSoftmax` | `T={bfloat16,double,float,half}`
`LogicalAnd` | 
`LogicalNot` | 
`LogicalOr` | 
`LowerBound` | `out_type={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`MatMul` | `T={bfloat16,complex128,complex64,double,float,half,int32,int64}`
`MatrixBandPart` | `Tindex={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`MatrixDiag` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`MatrixDiagPart` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`MatrixDiagPartV2` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`MatrixDiagPartV3` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`MatrixDiagV2` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`MatrixDiagV3` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`MatrixInverse` | `T={double,float,half}`
`MatrixSetDiag` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`MatrixSetDiagV2` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`MatrixSetDiagV3` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`MatrixSolve` | `T={double,float,half}`
`MatrixTriangularSolve` | `T={complex128,complex64,double,float,half}`
`Max` | `Tidx={int32,int64}`<br>`T={bfloat16,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`MaxPool` | `T={bfloat16,double,float,half,int16,int32,int64,int8,qint8,uint16,uint8}`
`MaxPool3D` | `T={bfloat16,float,half}`
`MaxPool3DGrad` | `TInput={bfloat16,float,half}`<br>`T={bfloat16,float,half}`
`MaxPool3DGradGrad` | `T={float}`
`MaxPoolGrad` | `T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`MaxPoolGradGrad` | `T={float}`
`MaxPoolGradGradV2` | `T={float}`
`MaxPoolGradV2` | `T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`MaxPoolV2` | `T={bfloat16,double,float,half,int16,int32,int64,int8,qint8,uint16,uint8}`
`Maximum` | `T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`Mean` | `Tidx={int32,int64}`<br>`T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Min` | `Tidx={int32,int64}`<br>`T={bfloat16,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Minimum` | `T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`MirrorPad` | `Tpaddings={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`MirrorPadGrad` | `Tpaddings={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Mod` | `T={bfloat16,double,float,half,int32,int64}`
`Mul` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`MulNoNan` | `T={bfloat16,complex128,complex64,double,float,half}`
`Multinomial` | `output_dtype={int32,int64}`<br>`T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`Ndtri` | `T={bfloat16,double,float,half}`
`Neg` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8}`
`NextAfter` | `T={double,float}`
`NoOp` | 
`NonMaxSuppressionV4` | `T_threshold={float,half}`<br>`T={float,half}`
`NotEqual` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`OneHot` | `TI={int32,int64,uint8}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`OnesLike` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,uint16,uint8}`
`Pack` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Pad` | `Tpaddings={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`PadV2` | `Tpaddings={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ParallelDynamicStitch` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ParameterizedTruncatedNormal` | `T={int32,int64}`<br>`dtype={double,float}`
`PartitionedCall` | `Tout={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,string,uint16,uint32,uint64,uint8,variant}`<br>`Tin={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,resource,string,uint16,uint32,uint64,uint8,variant}`
`PlaceholderWithDefault` | `dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Polygamma` | `T={double,float}`
`PopulationCount` | `T={int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`Pow` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8}`
`PreventGradient` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Prod` | `Tidx={int32,int64}`<br>`T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Qr` | `T={complex128,complex64,double,float,half}`
`QuantizeAndDequantizeV2` | `T={bfloat16,double,float,half}`
`QuantizeAndDequantizeV3` | `T={bfloat16,double,float,half}`
`QuantizeAndDequantizeV4` | `T={bfloat16,double,float,half}`
`RFFT` | `Tcomplex={complex64}`<br>`Treal={float}`
`RFFT2D` | `Tcomplex={complex64}`<br>`Treal={float}`
`RFFT3D` | `Tcomplex={complex64}`<br>`Treal={float}`
`RGBToHSV` | `T={bfloat16,double,float,half}`
`RandomGammaGrad` | `T={double,float}`
`RandomShuffle` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`RandomStandardNormal` | `T={int32,int64}`<br>`dtype={bfloat16,double,float,half}`
`RandomUniform` | `T={int32,int64}`<br>`dtype={bfloat16,double,float,half}`
`RandomUniformInt` | `T={int32,int64}`<br>`Tout={int32,int64}`
`Range` | `Tidx={bfloat16,double,float,half,int16,int32,int64,int8,uint32}`
`Rank` | `T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ReadVariableOp` | `dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`Real` | `Tout={double,float}`<br>`T={complex128,complex64}`
`RealDiv` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`Reciprocal` | `T={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8}`
`ReciprocalGrad` | `T={bfloat16,complex128,complex64,double,float,half}`
`Relu` | `T={bfloat16,double,float,half,int16,int32,int64,int8,qint8,uint16,uint32,uint64,uint8}`
`Relu6` | `T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`Relu6Grad` | `T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`ReluGrad` | `T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint32,uint64,uint8}`
`Reshape` | `Tshape={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ResizeBilinear` | `T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint8}`
`ResizeBilinearGrad` | `T={bfloat16,double,float,half}`
`ResizeNearestNeighbor` | `T={bfloat16,double,float,half,int16,int32,int64,int8,uint16,uint8}`
`ResourceApplyAdaMax` | `T={bfloat16,double,float,half}`
`ResourceApplyAdadelta` | `T={bfloat16,complex128,complex64,double,float,half}`
`ResourceApplyAdagrad` | `T={bfloat16,complex128,complex64,double,float,half}`
`ResourceApplyAdagradDA` | `T={bfloat16,double,float,half}`
`ResourceApplyAdagradV2` | `T={bfloat16,complex128,complex64,double,float,half}`
`ResourceApplyAdam` | `T={bfloat16,complex128,complex64,double,float,half}`
`ResourceApplyAddSign` | `T={bfloat16,double,float,half}`
`ResourceApplyCenteredRMSProp` | `T={bfloat16,complex128,complex64,double,float,half}`
`ResourceApplyFtrl` | `T={bfloat16,double,float,half}`
`ResourceApplyFtrlV2` | `T={bfloat16,double,float,half}`
`ResourceApplyGradientDescent` | `T={bfloat16,complex128,complex64,double,float,half}`
`ResourceApplyKerasMomentum` | `T={bfloat16,complex128,complex64,double,float,half}`
`ResourceApplyMomentum` | `T={bfloat16,double,float,half}`
`ResourceApplyPowerSign` | `T={bfloat16,double,float,half}`
`ResourceApplyProximalAdagrad` | `T={bfloat16,complex128,complex64,double,float,half}`
`ResourceApplyProximalGradientDescent` | `T={bfloat16,complex128,complex64,double,float,half}`
`ResourceApplyRMSProp` | `T={bfloat16,complex128,complex64,double,float,half}`
`ResourceGather` | `Tindices={int32,int64}`<br>`dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ResourceScatterAdd` | `Tindices={int32,int64}`<br>`dtype={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ResourceScatterDiv` | `Tindices={int32,int64}`<br>`dtype={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ResourceScatterMax` | `Tindices={int32,int64}`<br>`dtype={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ResourceScatterMin` | `Tindices={int32,int64}`<br>`dtype={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ResourceScatterMul` | `Tindices={int32,int64}`<br>`dtype={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ResourceScatterNdAdd` | `Tindices={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ResourceScatterNdSub` | `Tindices={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ResourceScatterNdUpdate` | `Tindices={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ResourceScatterSub` | `Tindices={int32,int64}`<br>`dtype={bfloat16,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ResourceScatterUpdate` | `Tindices={int32,int64}`<br>`dtype={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
`ResourceStridedSliceAssign` | `Index={int32,int64}`<br>`T={bfloat16,bool,complex128,complex64,double,float,half,int16,int32,int64,int8,qint32,qint8,quint8,uint16,uint32,uint64,uint8}`
